Stacja,Data,Zachmurzenie,Wilgotność,Opad,Temperatura średnia,Temperatura minimalna,Temperatura maksymalna,Ciśnienie,Liczba plam słonecznych,Odchylenie standardowe,Liczba obserwacji,HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity),HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity)
350190566KRAKÓW-BALICE,2/14/2014,5.90,88.30,0.09,1.90,-2.60,6.70,979.20,130.00,7.90,11.00,2.67,3.86,1.00,0.00,2.68,3.97,1.00,729.00
350190566KRAKÓW-BALICE,2/21/2014,4.80,83.40,0.20,2.90,-3.40,10.40,984.00,136.00,10.90,17.00,3.25,3.79,1.00,1.00,3.25,3.88,1.00,310.00
350190566KRAKÓW-BALICE,2/22/2014,7.40,94.10,0.00,4.00,-1.00,7.20,986.60,146.00,10.60,13.00,2.60,3.75,1.00,3.00,2.62,3.75,1.00,1.00
350190566KRAKÓW-BALICE,2/23/2014,3.30,80.30,0.09,4.20,0.50,9.40,995.10,158.00,11.30,16.00,2.82,4.49,1.00,0.00,2.81,4.48,1.00,739.00
350190566KRAKÓW-BALICE,2/24/2014,6.10,89.30,0.09,2.20,-2.00,5.50,996.00,153.00,8.40,18.00,3.38,5.18,1.00,0.00,3.44,5.18,1.00,561.00
350190566KRAKÓW-BALICE,2/25/2014,4.90,96.00,0.09,0.60,-0.60,3.70,992.20,171.00,10.20,17.00,3.37,4.41,1.00,0.00,3.38,4.41,1.00,628.00
350190566KRAKÓW-BALICE,2/26/2014,0.30,85.00,0.09,1.70,-4.40,9.60,991.90,207.00,14.50,16.00,3.02,4.35,1.00,5.00,3.02,4.29,1.00,649.00
350190566KRAKÓW-BALICE,2/27/2014,5.50,89.30,0.09,3.10,-1.50,8.90,989.80,220.00,15.20,12.00,3.16,4.38,1.00,2.00,3.14,4.28,1.00,587.00
350190566KRAKÓW-BALICE,2/28/2014,5.80,81.10,1.20,4.90,-2.80,13.20,981.50,196.00,16.00,10.00,3.69,4.59,1.00,114.00,3.58,4.66,1.00,113.00
350190566KRAKÓW-BALICE,3/1/2014,3.90,79.60,0.09,5.60,-0.10,12.30,978.30,155.00,9.10,7.00,3.25,4.42,0.99,1.00,3.24,4.41,0.97,4.00
350190566KRAKÓW-BALICE,3/2/2014,5.50,96.10,0.09,1.00,-2.90,5.80,978.40,158.00,11.70,12.00,2.85,4.39,0.99,3.00,2.88,4.39,1.00,6.00
350190566KRAKÓW-BALICE,3/3/2014,7.00,82.30,0.09,4.90,2.20,8.40,973.70,161.00,8.30,12.00,3.15,3.76,1.00,0.00,3.15,3.75,1.00,793.00
350190566KRAKÓW-BALICE,3/4/2014,7.50,87.10,0.09,3.90,1.30,6.10,976.10,141.00,5.70,12.00,3.29,4.43,1.00,0.00,3.28,4.42,1.00,518.00
350190566KRAKÓW-BALICE,3/5/2014,8.00,88.30,2.20,3.80,3.10,4.80,986.00,154.00,14.10,13.00,2.79,4.26,1.00,0.00,2.79,4.24,1.00,1.00
350190566KRAKÓW-BALICE,3/6/2014,8.00,88.50,0.09,3.50,2.10,5.10,997.70,127.00,9.80,19.00,2.92,4.38,1.00,4.00,2.94,4.27,1.00,3.00
350190566KRAKÓW-BALICE,3/7/2014,8.00,82.40,0.09,3.80,2.70,5.00,999.40,134.00,8.60,15.00,3.47,3.89,1.00,2.00,3.49,3.89,1.00,685.00
350190566KRAKÓW-BALICE,3/8/2014,6.90,85.40,0.09,3.90,3.00,7.50,1003.00,116.00,8.60,15.00,3.34,3.66,1.00,0.00,3.33,3.68,1.00,475.00
350190566KRAKÓW-BALICE,3/9/2014,2.90,71.80,0.09,5.70,1.00,11.00,1006.10,111.00,12.20,17.00,2.92,3.83,1.00,0.00,2.92,3.82,1.00,2.00
